Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,666.00,372.00,203.00,115.00,8.00
Anacostia,"1,014.00","1,080.00",940.00,342.00,14.00
Archives,158.00,"1,036.00","2,806.00",819.00,15.00
Arlington Cemetery,47.00,709.00,452.00,85.00,6.00
Ashburn,667.00,417.00,258.00,87.00,2.00
Ballston-MU,"1,627.00","1,366.00","1,668.00",653.00,22.00
Benning Road,685.00,505.00,299.00,133.00,8.00
Bethesda,"1,181.00","1,251.00","1,548.00",606.00,14.00
Braddock Road,849.00,516.00,506.00,219.00,11.00
Branch Ave,"1,263.00",545.00,352.00,136.00,6.00
Brookland-CUA,993.00,"1,057.00","1,072.00",348.00,11.00
Capitol Heights,546.00,319.00,188.00,86.00,6.00
Capitol South,442.00,"1,177.00","2,559.00",519.00,8.00
Cheverly,243.00,143.00,93.00,42.00,7.00
Clarendon,767.00,736.00,817.00,514.00,46.00
Cleveland Park,649.00,726.00,609.00,298.00,15.00
College Park-U of Md,732.00,649.00,551.00,196.00,7.00
Columbia Heights,"1,628.00","2,216.00","2,543.00","1,084.00",26.00
Congress Heights,510.00,436.00,329.00,153.00,5.00
Court House,"1,198.00","1,002.00",983.00,440.00,16.00
Crystal City,"1,229.00","1,352.00","1,651.00",531.00,18.00
Deanwood,334.00,282.00,191.00,79.00,7.00
Downtown Largo,"1,061.00",458.00,332.00,181.00,10.00
Dulles Airport,426.00,580.00,"1,000.00",622.00,5.00
Dunn Loring,669.00,408.00,404.00,141.00,4.00
Dupont Circle,"1,470.00","2,579.00","3,587.00","2,088.00",82.00
East Falls Church,"1,048.00",718.00,542.00,181.00,5.00
Eastern Market,780.00,"1,224.00","1,089.00",626.00,15.00
Eisenhower Ave,414.00,323.00,350.00,141.00,4.00
Farragut North,476.00,"1,724.00","4,702.00","1,472.00",50.00
Farragut West,652.00,"1,716.00","4,546.00","1,216.00",37.00
Federal Center SW,158.00,555.00,"1,364.00",184.00,6.00
Federal Triangle,73.00,872.00,"2,331.00",402.00,9.00
Foggy Bottom-GWU,"1,555.00","2,901.00","5,270.00","2,301.00",37.00
Forest Glen,87.00,62.00,49.00,36.00,18.00
Fort Totten,"3,510.00","2,445.00","1,845.00",777.00,28.00
Franconia-Springfield,"1,393.00",950.00,640.00,208.00,12.00
Friendship Heights,978.00,"1,086.00","1,063.00",415.00,16.00
Gallery Place,723.00,"2,368.00","4,786.00","3,443.00",105.00
Georgia Ave-Petworth,"1,171.00","1,185.00","1,068.00",455.00,14.00
Glenmont,4.00,4.00,2.00,2.00,2.00
Greenbelt,"1,388.00",946.00,643.00,232.00,8.00
Greensboro,184.00,214.00,394.00,157.00,5.00
Grosvenor-Strathmore,"1,069.00",662.00,429.00,138.00,8.00
Herndon,436.00,257.00,179.00,58.00,1.00
Huntington,"1,685.00",876.00,557.00,205.00,10.00
Hyattsville Crossing,"1,054.00",792.00,660.00,338.00,11.00
Innovation Center,315.00,280.00,277.00,67.00,2.00
Judiciary Square,233.00,753.00,"1,744.00",394.00,17.00
King St-Old Town,"1,055.00","1,162.00","1,074.00",570.00,19.00
L'Enfant Plaza,974.00,"2,276.00","5,085.00","1,528.00",75.00
